Select a state/territory:,Select a county:,How dry or wet is it?,How much experience do you have with conditions there?,How many times in the past have you seen it like this?,Other,When was it like this in the past?,When was it most recently like this?,How localized or widespread are the conditions you are reporting?,How are crop conditions at this time?,Planting Status,Harvest Status,How are range conditions at this time?,Generator issues,Other,Description and/or caption information,photo_exists,Form Version,What is the date?,Crop production,Other crop production impact,Livestock production,Other,Municipal water supply,Other,Community hydropower,Public and community health,Other,Household,Other,Recreation or tourism,Other,Report other business or industry impact,Other,Fire,Fire - Other,Forestry,Forestry - Other,Wildlife habitat,Wildlife habitat - Other,Freshwater fish,Freshwater fish - Other,Spawning fish,Spawning fish - Other,Display Name,Conditions are normal or wet,x,y
Alabama,,Severely Dry,20 or more years,Never,,,,"East of Marion, Al in Perry Co. 4 inches of rain since August 1, 2023",,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/18/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,less_water_in_ponds_creeks_etc,hauled_water",,,,,,,,,,,,,"more_fires_than_usual,more_fire_risk,burn_or_fireworks_bans",,,,,,,,,,,,-87.3122058072031,32.684847562610834
Alabama,Sumter,Severely Dry,20 or more years,Once,,2016,,I have five farms spread throughout Sumter County Alabama and four of the five have been severely dry since August.,,,,null,,,,0,CMOR 2022 NDMC,11/18/2023,,,,,,,,,,,,,,,,,,,,,,,,,,David Edmonds ,,-88.13318860664381,32.455395804144885
Alabama,Sumter,Severely Dry,20 or more years,Twice or more,,,2007,Very widespread.  ,,later_than_normal,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/18/2023,other,No pasture grass or hay.  Supplemental feeding for cattle. V,"reduced_pasture_forage,supplemental_feed,purchased_hay,decreased_stock_weights,animal_stress",,,,,,,,,,,,,burn_or_fireworks_bans,,dead_trees,,,,,,,,FarmingEngineer,,-88.10205467396793,32.53091987855328
Alabama,Sumter,Severely Dry,10-20 years,Twice or more,,,2016,"All of West Alabama. Alof the surrounding counties to the north south, east and west",,,,null,,,,0,CMOR 2022 NDMC,11/18/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Cole Cattle Co.,,-88.15430347292087,32.56767017721705
Alabama,Sumter,Severely Dry,5-10 years,Twice or more,,,2012,County wide,very_poor,,,Poor - Pastures are providing marginal feed; supplemental feeding required.,,,Having to feed have 8 weeks earlier than most years. Creeks have dried up and hauling water to keep cows watered,0,CMOR 2022 NDMC,11/17/2023,"plant_stress,less_water_in_ponds_creeks_etc",,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,decreased_stock_weights,animal_stress,less_water_in_ponds_creeks_etc,hauled_water,sold_livestock",,,,,,,"dry_lawn,increased_power_bill",,,,,,burn_or_fireworks_bans,,,,"less_food,less_water",,,,,,,,-88.08580617612795,32.52195701940144
Alabama,Sumter,Severely Dry,20 or more years,Never,,,,county wide for Sumter County,very_poor,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/17/2023,"erosion,less_water_in_ponds_creeks_etc",,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,decreased_stock_weights,animal_stress,mortality,less_water_in_ponds_creeks_etc,erosion",,,,,,,,,"park_or_lake_closed,reduced_boating_rafting,less_appealing_landscape,hunting_or_fishing_reduced",,,,more_fire_risk,,,,"less_food,less_water",,"less_water,water_quality_change,fish_disease_or_mortality",,,,Triple D Ranch,,-88.27900027024441,32.73362904800704
Alabama,Sumter,Severely Dry,5-10 years,Once,,2012,,West and central Alabama ,very_poor,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/17/2023,"reduced_yield,plant_stress,less_water_in_ponds_creeks_etc",,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,decreased_stock_weights,less_water_in_ponds_creeks_etc,hauled_water,sold_livestock",,,,,,,,,,,,,,,,,,,,,,,,,-88.12353143971661,32.543857248057755
Alabama,Sumter,Moderately Dry,20 or more years,Once,,,,,poor,later_than_normal,later_than_normal,Fair - Pastures are providing generally adequate feed but still less than normal for the time of year.,,,,0,CMOR 2022 NDMC,11/17/2023,"reduced_yield,plant_stress,less_water_in_ponds_creeks_etc",,"reduced_pasture_forage,feeding_hay_early",,,,,,,,,,,,,,,,,,,,,,,,,-88.20636956524594,32.3355595653785
Alabama,Sumter,Severely Dry,20 or more years,Never,,,,All of west AL and east MS,,,,null,,,,0,CMOR 2022 NDMC,11/17/2023,,,,,,,,,,,,,,,,,,,,,,,,,,John R. Besh,,-88.1867194999985,32.560912499999446
Alabama,Sumter,Moderately Dry,20 or more years,Twice or more,,,,,,,,null,,,,0,CMOR 2022 NDMC,11/17/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,-84.19706312899996,32.03993869900006
Alabama,Chilton,Severely Dry,20 or more years,Never,,,,"My entire pasture 
45 acre as",,,,null,,,Having to feed hay 45 days earlier than normal. Ryegrass has just been planted due to extreme drought.,0,CMOR 2022 NDMC,11/16/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,-86.82152652131121,33.06259319785364
Alabama,Hale,Severely Dry,20 or more years,Once,,2016,,Throughout the whole county and state. Especially in the West Alabama Area. ,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/16/2023,,,"reduced_pasture_forage,feeding_hay_early,purchased_hay,decreased_stock_weights,animal_stress,less_water_in_ponds_creeks_etc,erosion",,,,,,,,,,,,,,,,,,,,,,,,,-87.50829701661519,32.812069995706935
Alabama,Sumter,Severely Dry,10-20 years,Once,,2015,,State wide,very_poor,later_than_normal,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/16/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,less_water_in_ponds_creeks_etc,other",Winter grazing is not growing. ,,,,,,,,,,,,"more_fire_risk,smoke_from_distant_fire",,,,,,less_water,,,,D&A cattle ,,-88.15167387804857,32.702548815963596
Alabama,Wilcox,Severely Dry,20 or more years,Twice or more,,,2016,,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/16/2023,other,We're 30+ behind on ryegrass because it's been too dry to plant.,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,more_invasive_species_plants,decreased_stock_weights,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,"more_fires_than_usual,more_fire_risk,smoke_from_distant_fire,burn_or_fireworks_bans",,,,,,,,,,JDW,,-87.12355513463103,31.95825948656396
Alabama,Sumter,Severely Dry,20 or more years,Twice or more,,,2015,Statewide ,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/16/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,animal_stress",,,,,,,,,,,,,"more_fire_risk,smoke_from_distant_fire",,,,,,"less_water,water_quality_change",,,,D&A cattle,,-88.15626713129426,32.70812709385174
Alabama,Perry,Severely Dry,10-20 years,Once,,2016,,"I am more familiar with the drought conditions north of Marion Alabama. 
In this area of Perry Co we have received less than 3 inches of rain since August 1,  2023. ",poor,later_than_normal,later_than_normal,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,Pasture and hay land production has been significantly less ,0,CMOR 2022 NDMC,11/16/2023,"reduced_yield,plant_stress,less_water_in_ponds_creeks_etc",,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,animal_stress,less_water_in_ponds_creeks_etc",,,,,"air_quality_dust_pollen,garden_needs_more_water_or_yields_less,stress",,"dry_lawn,increased_power_bill",,"reduced_boating_rafting,hunting_or_fishing_reduced",,,,"more_fires_than_usual,more_fire_risk,burn_or_fireworks_bans",,"leaves_discolored_shriveled_burnt,leaf_drop_or_sparse_canopy",,"less_food,less_water,wildlife_foraging_near_people,water_quality_reduced,change_in_wetland_bog_swamp_muskeg",,"less_water,reduced_streamflow",,,,Garron Moody,,-87.14097046301286,32.90426881986885
